,Total_Rides
09-2018,1877168
10-2018,1878433
11-2018,1260275
12-2018,1016416
01-2019,967269
02-2019,943735
03-2019,1327950
04-2019,1766094
05-2019,1924563
06-2019,2125370
07-2019,2181010
08-2019,2344135
09-2019,2444900
10-2019,2092573
11-2019,1478708
12-2019,955210
01-2020,1240596
02-2020,1146830
03-2020,1068457
04-2020,682762
05-2020,1487890
06-2020,1882273
07-2020,2105808
08-2020,2329514
09-2020,2488225
10-2020,2248869
11-2020,1736704
12-2020,1088929
01-2021,1095346
02-2021,648648
03-2021,1527834
04-2021,2064165
05-2021,2718393
06-2021,3167215
07-2021,3070426
08-2021,3058683
09-2021,3264684
10-2021,3057582
11-2021,2151424
12-2021,1739653
01-2022,1043162
02-2022,1231345
03-2022,1891560
04-2022,2317132
05-2022,2936455
06-2022,3426401
07-2022,3487859
08-2022,3670743
09-2022,3498998
